Robot Count: 10,Node Count: 50,Robot Speed: 3
1,58
2,108
3,107
4,207
5,156
6,59
7,58
8,155
9,8
10,104
11,8
12,62
13,51
14,57
15,9
16,7
17,10
18,52
19,59
20,7
21,161
22,55
23,9
24,107
25,9
26,15
27,9
28,11
29,64
30,13
31,14
32,207
33,57
34,201
35,105
36,11
37,63
38,203
39,57
40,13
41,159
42,59
43,116
44,57
45,62
46,106
47,7
48,8
49,7
50,57
51,8
52,54
53,57
54,106
55,254
56,58
57,7
58,58
59,12
60,57
61,102
62,56
63,110
64,8
65,108
66,10
67,108
68,57
69,59
70,106
71,11
72,61
73,10
74,8
75,106
76,9
77,11
78,58
79,107
80,113
81,103
82,8
83,8
84,509
85,207
86,164
87,9
88,10
89,18
90,109
91,14
92,8
93,8
94,106
95,105
96,107
97,304
98,255
99,56
100,8
101,8
102,8
103,57
104,9
105,60
106,8
107,9
108,8
109,58
110,161
111,158
112,57
113,103
114,53
115,107
116,11
117,157
118,8
119,203
120,207
121,57
122,11
123,8
124,157
125,359
126,152
127,10
128,7
129,61
130,161
131,58
132,10
133,8
134,59
135,11
136,107
137,9
138,107
139,8
140,56
141,59
142,62
143,62
144,56
145,55
146,59
147,12
148,158
149,53
150,59
151,8
152,60
153,57
154,59
155,457
156,113
157,109
158,59
159,57
160,56
161,15
162,9
163,8
164,8
165,56
166,62
167,54
168,9
169,111
170,8
171,14
172,52
173,57
174,108
175,65
176,157
177,106
178,307
179,56
180,108
181,9
182,108
183,61
184,9
185,259
186,7
187,107
188,301
189,7
190,57
191,6
192,8
193,13
194,157
195,63
196,9
197,8
198,155
199,52
200,156
201,54
202,10
203,8
204,59
205,9
206,9
207,55
208,208
209,258
210,8
211,56
212,58
213,9
214,8
215,57
216,8
217,64
218,107
219,157
220,56
221,55
222,13
223,9
224,59
225,207
226,8
227,15
228,56
229,57
230,9
231,18
232,57
233,8
234,9
235,10
236,57
237,8
238,108
239,70
240,256
241,8
242,58
243,107
244,106
245,205
246,64
247,55
248,59
249,8
250,111
251,307
252,62
253,8
254,207
255,61
256,8
257,59
258,254
259,8
260,56
261,11
262,101
263,8
264,106
265,309
266,107
267,7
268,53
269,9
270,54
271,8
272,12
273,106
274,58
275,107
276,51
277,9
278,59
279,56
280,7
281,57
282,110
283,8
284,103
285,159
286,8
287,7
288,58
289,64
290,9
291,107
292,109
293,158
294,9
295,60
296,207
297,8
298,106
299,11
300,107
301,108
302,8
303,208
304,157
305,54
306,10
307,107
308,8
309,113
310,8
311,158
312,57
313,107
314,158
315,8
316,59
317,157
318,8
319,257
320,256
321,60
322,56
323,259
324,8
325,105
326,103
327,8
328,12
329,8
330,208
331,109
332,157
333,57
334,12
335,6
336,55
337,9
338,58
339,8
340,12
341,8
342,64
343,59
344,12
345,61
346,10
347,54
348,5
349,57
350,10
351,59
352,106
353,103
354,105
355,62
356,110
357,7
358,58
359,9
360,58
361,106
362,11
363,6
364,208
365,57
366,208
367,7
368,9
369,108
370,159
371,57
372,108
373,9
374,7
375,57
376,104
377,106
378,7
379,57
380,54
381,57
382,360
383,57
384,59
385,57
386,7
387,105
388,59
389,59
390,53
391,107
392,55
393,9
394,12
395,103
396,57
397,57
398,7
399,59
400,56
401,154
402,58
403,106
404,12
405,8
406,13
407,207
408,9
409,155
410,9
411,56
412,9
413,56
414,8
415,58
416,10
417,107
418,10
419,59
420,57
421,259
422,153
423,107
424,102
425,207
426,12
427,58
428,106
429,154
430,108
431,51
432,57
433,59
434,107
435,115
436,158
437,59
438,56
439,7
440,56
441,58
442,151
443,57
444,8
445,56
446,11
447,9
448,7
449,15
450,111
451,107
452,11
453,110
454,105
455,107
456,54
457,158
458,61
459,16
460,11
461,8
462,9
463,107
464,9
465,205
466,107
467,206
468,54
469,9
470,356
471,60
472,6
473,9
474,11
475,10
476,151
477,58
478,11
479,262
480,57
481,8
482,156
483,104
484,153
485,11
486,108
487,8
488,106
489,202
490,56
491,56
492,207
493,106
494,63
495,158
496,107
497,57
498,105
499,7
500,8
501,106
502,63
503,256
504,7
505,10
506,10
507,9
508,158
509,205
510,8
511,63
512,60
513,8
514,106
515,11
516,10
517,157
518,58
519,57
520,8
521,109
522,107
523,7
524,10
525,55
526,54
527,106
528,59
529,57
530,60
531,57
532,253
533,9
534,10
535,6
536,14
537,104
538,105
539,7
540,108
541,59
542,9
543,58
544,57
545,8
546,107
547,53
548,59
549,157
550,11
551,60
552,56
553,59
554,57
555,105
556,107
557,59
558,7
559,55
560,112
561,206
562,64
563,61
564,308
565,57
566,107
567,57
568,56
569,52
570,59
571,14
572,7
573,13
574,57
575,56
576,5
577,9
578,57
579,17
580,59
581,204
582,112
583,65
584,157
585,159
586,207
587,57
588,7
589,59
590,206
591,155
592,8
593,158
594,53
595,12
596,8
597,58
598,15
599,109
600,16
601,155
602,360
603,207
604,107
605,59
606,9
607,58
608,9
609,59
610,8
611,54
612,11
613,60
614,11
615,108
616,59
617,107
618,159
619,9
620,207
621,159
622,60
623,58
624,159
625,55
626,9
627,258
628,105
629,55
630,7
631,107
632,110
633,57
634,12
635,9
636,13
637,54
638,8
639,62
640,201
641,57
642,7
643,105
644,59
645,59
646,107
647,108
648,8
649,207
650,110
651,57
652,56
653,13
654,60
655,10
656,253
657,357
658,10
659,6
660,7
661,7
662,113
663,158
664,56
665,59
666,8
667,13
668,8
669,8
670,106
671,57
672,57
673,55
